Allocations for Section 18004(a)(1) of the CARES Act,,,
,,,
OPEID,School,Total Allocation ($),"Minimum Allocation to
be Awarded for
Emergency Financial Aid
Grants to Students ($)"
269300,Cuny John Jay College Of Criminal Justice,"15,320,009.00","7,660,005.00"
178600,Ball State University,"15,246,930.00","7,623,465.00"
126100,Pasadena City College,"15,230,050.00","7,615,025.00"
2053000,Liberty University,"15,205,124.00","7,602,562.00"
194800,University Of Kansas,"15,189,645.00","7,594,823.00"
213000,Boston University,"14,995,316.00","7,497,658.00"
2559300,United Education Institute,"14,992,982.00","7,496,491.00"
822100,Universal Technical Institute,"14,950,305.00","7,475,153.00"
173700,Northern Illinois University,"14,825,179.00","7,412,590.00"
121900,Long Beach City College,"14,663,058.00","7,331,529.00"
113800,"California State University, East Bay","14,617,347.00","7,308,674.00"
148400,Florida State College At Jacksonville,"14,500,515.00","7,250,258.00"
260900,Rowan University,"14,471,695.00","7,235,848.00"
136000,Metropolitan State University Of Denver,"14,390,083.00","7,195,042.00"
167100,Depaul University,"14,373,219.00","7,186,610.00"
256800,"University Of Nevada , Reno","14,244,534.00","7,122,267.00"
394100,Universidad Ana G. Méndez - Carolina Campus,"14,212,207.00","7,106,104.00"
340400,Johnson & Wales University,"14,182,680.00","7,091,340.00"
312300,University Of Akron (The),"14,151,817.00","7,075,909.00"
354900,Blinn College,"14,141,911.00","7,070,956.00"
290500,North Carolina Agricultural & Technical State University,"14,103,628.00","7,051,814.00"
114300,California Polytechnic State University,"14,095,976.00","7,047,988.00"
1036200,College Of Southern Nevada,"14,078,408.00","7,039,204.00"
265700,New Mexico State University,"14,076,359.00","7,038,180.00"
1201500,Austin Community College,"13,907,800.00","6,953,900.00"
250300,Missouri State University,"13,855,674.00","6,927,837.00"
230700,Oakland University,"13,796,824.00","6,898,412.00"
363000,Prairie View Agricultural & Mechanical University,"13,752,928.00","6,876,464.00"
225900,Eastern Michigan University,"13,733,990.00","6,866,995.00"
158500,University Of North Georgia,"13,636,481.00","6,818,241.00"
283600,Binghamton University,"13,607,332.00","6,803,666.00"
799300,"California State University, Bakersfield","13,588,942.00","6,794,471.00"
342500,Clemson University,"13,579,995.00","6,789,998.00"
313100,University Of Toledo,"13,547,254.00","6,773,627.00"
262200,Kean University,"13,509,139.00","6,754,570.00"
244100,University Of Southern Mississippi,"13,506,042.00","6,753,021.00"
4142900,Georgia Gwinnett College,"13,470,330.00","6,735,165.00"
3026500,Remington College,"13,408,868.00","6,704,434.00"
793800,Lincoln College Of Technology,"13,341,054.00","6,670,527.00"
115700,"California State University, Stanislaus","13,314,715.00","6,657,358.00"
702200,Cuny Lehman College,"13,293,096.00","6,646,548.00"
287800,Suffolk County Community College,"13,179,539.00","6,589,770.00"
325600,Drexel University,"13,179,268.00","6,589,634.00"
301800,Bowling Green State University,"13,163,417.00","6,581,709.00"
148000,Florida Agricultural & Mechanical University,"13,051,325.00","6,525,663.00"
4127100,"University Of California, Merced","13,037,897.00","6,518,949.00"
1005100,Cuny Laguardia Community College,"12,917,232.00","6,458,616.00"
270700,Columbia University In The City Of New York,"12,830,199.00","6,415,100.00"
152800,St. Petersburg College,"12,813,482.00","6,406,741.00"
271100,Cornell University,"12,800,980.00","6,400,490.00"
192800,Kansas State University,"12,686,554.00","6,343,277.00"
203100,University Of Louisiana At Lafayette,"12,686,007.00","6,343,004.00"
393600,Pontifical Catholic University Of Puerto Rico (The),"12,669,949.00","6,334,975.00"
269800,College Of Staten Island/Cuny,"12,595,956.00","6,297,978.00"
686700,Columbus State Community College,"12,562,800.00","6,281,400.00"
321300,Portland Community College,"12,538,743.00","6,269,372.00"
199900,University Of Louisville,"12,478,790.00","6,239,395.00"
303200,Cleveland State University,"12,226,765.00","6,113,383.00"
128600,Santa Monica College,"12,193,513.00","6,096,757.00"
282300,Saint John'S University,"12,191,880.00","6,095,940.00"
116100,Cerritos Community College,"12,186,449.00","6,093,225.00"
222200,University Of Massachusetts - Boston,"12,184,652.00","6,092,326.00"
111800,Bakersfield College,"12,182,994.00","6,091,497.00"
143100,University Of Delaware,"12,174,809.00","6,087,405.00"
105200,University Of Alabama At Birmingham,"12,131,256.00","6,065,628.00"
372100,James Madison University,"12,080,658.00","6,040,329.00"
287300,Nassau Community College,"12,022,119.00","6,011,060.00"
371200,Tidewater Community College,"11,999,956.00","5,999,978.00"
332800,West Chester University Of Pennsylvania,"11,992,115.00","5,996,058.00"
3698300,West Coast University,"11,797,821.00","5,898,911.00"
364200,Texas Southern University,"11,796,898.00","5,898,449.00"
984100,University Of North Florida,"11,770,196.00","5,885,098.00"
374500,University Of Virginia,"11,716,710.00","5,858,355.00"
368000,Weber State University,"11,714,226.00","5,857,113.00"
119700,El Camino College,"11,659,979.00","5,829,990.00"
219900,Northeastern University,"11,648,813.00","5,824,407.00"
258900,University Of New Hampshire,"11,647,555.00","5,823,778.00"
380200,Western Washington University,"11,641,693.00","5,820,847.00"
116300,Chaffey Community College,"11,446,484.00","5,723,242.00"
105700,University Of South Alabama,"11,408,535.00","5,704,268.00"
479900,Monroe College,"11,408,077.00","5,704,039.00"
869400,Rasmussen College,"11,388,948.00","5,694,474.00"
2572000,Vista College,"11,351,349.00","5,675,675.00"
269700,Queensborough Community College-Cuny,"11,321,080.00","5,660,540.00"
462500,Delgado Community College,"11,310,381.00","5,655,191.00"
341400,University Of Rhode Island,"11,238,683.00","5,619,342.00"
130700,Fresno City College,"11,224,898.00","5,612,449.00"
315200,University Of Central Oklahoma,"11,170,390.00","5,585,195.00"
3255300,Florida Gulf Coast University,"11,143,620.00","5,571,810.00"
161000,University Of Hawaii At Manoa,"11,009,867.00","5,504,934.00"
691100,Montgomery College,"10,995,749.00","5,497,875.00"
161600,Boise State University,"10,937,516.00","5,468,758.00"
363100,Tarleton State University,"10,893,519.00","5,446,760.00"
160100,University Of West Georgia,"10,881,459.00","5,440,730.00"
127000,Riverside City College,"10,831,532.00","5,415,766.00"
2226000,East Los Angeles College,"10,797,043.00","5,398,522.00"
2361400,Collin County Community College,"10,790,912.00","5,395,456.00"
291500,Central Piedmont Community College,"10,787,553.00","5,393,777.00"
354500,Baylor University,"10,777,489.00","5,388,745.00"
255400,University Of Nebraska At Omaha,"10,759,273.00","5,379,637.00"
522000,Salt Lake Community College,"10,647,873.00","5,323,937.00"
200200,Western Kentucky University,"10,636,493.00","5,318,247.00"
123200,American River College,"10,613,663.00","5,306,832.00"
202400,Southeastern Louisiana University,"10,580,284.00","5,290,142.00"
298400,University Of North At Carolina Wilmington (The),"10,566,053.00","5,283,027.00"
253200,Montana State University Bozeman,"10,560,079.00","5,280,040.00"
196300,Eastern Kentucky University,"10,542,767.00","5,271,384.00"
362400,Stephen F Austin State University,"10,525,078.00","5,262,539.00"
240700,Hinds Community College,"10,520,779.00","5,260,390.00"
284200,Suny College At Buffalo,"10,484,417.00","5,242,209.00"
484400,Wake Technical Community College,"10,390,849.00","5,195,425.00"
156900,Georgia Institute Of Technology,"10,388,077.00","5,194,039.00"
280600,Rochester Institute Of Technology,"10,380,480.00","5,190,240.00"
314500,Youngstown State University,"10,376,462.00","5,188,231.00"
114900,Humboldt State University,"10,302,998.00","5,151,499.00"
111300,Antelope Valley College,"10,245,691.00","5,122,846.00"
450800,University Of Colorado Denver,"10,184,083.00","5,092,042.00"
269400,Kingsborough Commmunity College/Cuny,"10,156,521.00","5,078,261.00"
307800,Wright State University,"10,140,846.00","5,070,423.00"
1116100,Texas A&M University - Corpus Christi,"10,105,662.00","5,052,831.00"
345100,Coastal Carolina University,"10,054,347.00","5,027,174.00"
327700,Indiana University Of Pennsylvania,"10,050,461.00","5,025,231.00"
171000,Loyola University Chicago,"10,043,948.00","5,021,974.00"
934500,Stockton University,"10,041,238.00","5,020,619.00"
304000,Cuyahoga Community College,"10,027,370.00","5,013,685.00"
340800,Community College Of Rhode Island,"10,000,569.00","5,000,285.00"
726600,Pima County Community College,"9,989,049.00","4,994,525.00"
377500,Eastern Washington University,"9,986,299.00","4,993,150.00"
363400,Texas State Technical College,"9,965,155.00","4,982,578.00"
288200,Syracuse University,"9,920,122.00","4,960,061.00"
337800,University Of Pennsylvania,"9,907,683.00","4,953,842.00"
262500,William Paterson University Of New Jersey,"9,763,356.00","4,881,678.00"
124600,Mt. San Jacinto College,"9,713,109.00","4,856,555.00"
120100,Fullerton College,"9,700,734.00","4,850,367.00"
347800,Austin Peay State University,"9,687,866.00","4,843,933.00"
175900,Southern Illinois University Edwardsville,"9,678,393.00","4,839,197.00"
269200,Cuny Bronx Community College,"9,658,626.00","4,829,313.00"
890600,Macomb Community College,"9,617,297.00","4,808,649.00"
109200,University Of Central Arkansas,"9,604,924.00","4,802,462.00"
124000,Modesto Junior College,"9,575,504.00","4,787,752.00"
180700,Indiana State University,"9,566,914.00","4,783,457.00"
149300,Indian River State College,"9,553,094.00","4,776,547.00"
352900,University Of Tennessee - Chattanooga,"9,513,779.00","4,756,890.00"
965100,Texas A&M International University,"9,501,756.00","4,750,878.00"
361200,University Of Houston - Downtown,"9,456,650.00","4,728,325.00"
2362100,Full Sail University,"9,445,834.00","4,722,917.00"
202500,Southern University And Agricultural & Mechanical Colg At Baton Rouge,"9,396,803.00","4,698,402.00"
206300,Community College Of Baltimore County,"9,349,870.00","4,674,935.00"
159900,Valdosta State University,"9,331,398.00","4,665,699.00"
2100500,Universal Technical Institute,"9,330,780.00","4,665,390.00"
210500,University Of Maryland - Baltimore County,"9,315,657.00","4,657,829.00"
208300,Morgan State University,"9,263,592.00","4,631,796.00"
109000,Arkansas State University,"9,258,158.00","4,629,079.00"
129400,Southwestern Community College District,"9,253,264.00","4,626,632.00"
147700,Florida Southwestern State College,"9,178,997.00","4,589,499.00"
3083700,Galen Health Institutes,"9,167,121.00","4,583,561.00"
287200,Monroe Community College,"9,166,962.00","4,583,481.00"
227000,Henry Ford College,"9,153,117.00","4,576,559.00"
226000,Ferris State University,"9,146,813.00","4,573,407.00"
100200,Alabama Agricultural & Mechanical University,"9,121,201.00","4,560,601.00"
125000,Orange Coast College,"9,120,468.00","4,560,234.00"
144400,George Washington University,"9,118,529.00","4,559,265.00"
327300,Harrisburg Area Community College,"9,105,781.00","4,552,891.00"
665600,College Of Du Page,"9,100,886.00","4,550,443.00"
115600,Sonoma State University,"9,093,447.00","4,546,724.00"
373200,Radford University,"9,092,203.00","4,546,102.00"
236000,"Minnesota State University, Mankato","9,088,962.00","4,544,481.00"
1172700,Delaware Technical Community College,"9,008,399.00","4,504,200.00"
381500,Marshall University,"9,003,939.00","4,501,970.00"
360900,San Jacinto Community College District,"8,950,463.00","4,475,232.00"
295000,North Carolina Central University,"8,932,233.00","4,466,117.00"
358200,Laredo College,"8,926,222.00","4,463,111.00"
216100,University Of Massachusetts - Lowell,"8,900,322.00","4,450,161.00"
298100,Western Carolina University,"8,893,407.00","4,446,704.00"
502800,Inter American University Of Puerto Rico - Bayamon Campus,"8,889,905.00","4,444,953.00"
267800,Bryant & Stratton College,"8,877,497.00","4,438,749.00"
175800,Southern Illinois University At Carbondale,"8,866,635.00","4,433,318.00"
2362000,Universal Technical Institute,"8,848,799.00","4,424,400.00"
218300,Bridgewater State University,"8,833,662.00","4,416,831.00"
4254200,Inter American University Of Puerto Rico San Germán Campus,"8,830,671.00","4,415,336.00"
147000,Eastern Florida State College,"8,816,361.00","4,408,181.00"
195000,Wichita State University,"8,786,465.00","4,393,233.00"
247100,Saint Louis Community College,"8,727,263.00","4,363,632.00"
144800,Howard University,"8,723,244.00","4,361,622.00"
352300,Tennessee Technological University,"8,713,463.00","4,356,732.00"
248400,Metropolitan Community College,"8,709,049.00","4,354,525.00"
215500,Harvard University,"8,655,748.00","4,327,874.00"
118600,College Of The Sequoias,"8,630,859.00","4,315,430.00"
3980300,California State University Channel Islands,"8,580,009.00","4,290,005.00"
279100,Pace University,"8,562,106.00","4,281,053.00"
104700,Troy University,"8,544,084.00","4,272,042.00"
173900,Northwestern University,"8,521,175.00","4,260,588.00"
386600,Milwaukee Area Technical College,"8,505,373.00","4,252,687.00"
1295400,Hudson County Community College,"8,467,661.00","4,233,831.00"
473600,Bergen Community College,"8,461,418.00","4,230,709.00"
3260300,"California State University, Monterey Bay","8,459,727.00","4,229,864.00"
241000,Jackson State University,"8,446,248.00","4,223,124.00"
140600,Southern Connecticut State University,"8,390,168.00","4,195,084.00"
261300,New Jersey City University,"8,337,070.00","4,168,535.00"
1121000,Bunker Hill Community College,"8,310,307.00","4,155,154.00"
107600,Glendale Community College,"8,301,836.00","4,150,918.00"
483800,Guilford Technical Community College,"8,260,390.00","4,130,195.00"
1031900,Fortis Institute - Towson,"8,227,327.00","4,113,664.00"
2141500,Savannah College Of Art And Design,"8,209,651.00","4,104,826.00"
392600,University Of Wisconsin - Whitewater,"8,169,773.00","4,084,887.00"
152000,Seminole State College Of Florida,"8,150,059.00","4,075,030.00"
272200,Fordham University,"8,147,184.00","4,073,592.00"
153600,University Of Miami,"8,139,089.00","4,069,545.00"
393900,Inter American University Of Puerto Rico - Aguadilla Campus,"8,125,496.00","4,062,748.00"
262100,New Jersey Institute Of Technology,"8,110,969.00","4,055,485.00"
133500,Victor Valley Community College,"8,067,843.00","4,033,922.00"
638500,Chamberlain University,"8,007,329.00","4,003,665.00"
927500,Northern Kentucky University,"7,998,963.00","3,999,482.00"
178000,Western Illinois University,"7,997,093.00","3,998,547.00"
1068400,Erie Community College,"7,995,845.00","3,997,923.00"
323100,Community College Of Allegheny County,"7,987,479.00","3,993,740.00"
976300,Tulsa Community College,"7,980,293.00","3,990,147.00"
156400,Emory University,"7,974,341.00","3,987,171.00"
3083000,Ozarks Technical Community College,"7,950,662.00","3,975,331.00"
123300,Sacramento City College,"7,946,038.00","3,973,019.00"
450900,University Of Colorado Colorado Springs,"7,925,645.00","3,962,823.00"
112500,California Baptist University,"7,913,118.00","3,956,559.00"
331500,Bloomsburg University Of Pennsylvania,"7,906,785.00","3,953,393.00"
241700,Mississippi Gulf Coast Community College,"7,880,280.00","3,940,140.00"
151900,Santa Fe College,"7,859,449.00","3,929,725.00"
128000,San Joaquin Delta College,"7,835,430.00","3,917,715.00"
237700,St. Cloud State University,"7,821,764.00","3,910,882.00"
153300,Tallahassee Community College,"7,763,584.00","3,881,792.00"
710700,Essex County College,"7,752,662.00","3,876,331.00"
284100,Suny College At Brockport,"7,750,148.00","3,875,074.00"
299700,North Dakota State University - Fargo,"7,728,326.00","3,864,163.00"
1303900,South University,"7,726,176.00","3,863,088.00"
126000,Palomar College,"7,702,862.00","3,851,431.00"
377100,Central Washington University,"7,695,384.00","3,847,692.00"
122600,Los Angeles Pierce College,"7,694,796.00","3,847,398.00"
722800,University Of Puerto Rico - Arecibo,"7,684,735.00","3,842,368.00"
147500,Daytona State College,"7,681,731.00","3,840,866.00"
253600,University Of Montana (The),"7,652,275.00","3,826,138.00"
134900,University Of Northern Colorado,"7,650,214.00","3,825,107.00"
916300,San Antonio College,"7,648,254.00","3,824,127.00"
342800,College Of Charleston,"7,642,022.00","3,821,011.00"
3025500,Mech Tech College,"7,627,631.00","3,813,816.00"
189000,University Of Northern Iowa,"7,618,737.00","3,809,369.00"
205300,University Of Maine,"7,603,694.00","3,801,847.00"
129000,Sierra College,"7,595,581.00","3,797,791.00"
1014200,Touro College,"7,558,879.00","3,779,440.00"
394000,Inter American University Of Puerto Rico - Metropolitan Campus,"7,548,666.00","3,774,333.00"
889600,Pikes Peak Community College,"7,543,778.00","3,771,889.00"
502900,Inter American University Of Puerto Rico - Ponce Campus,"7,526,308.00","3,763,154.00"
230300,Oakland Community College,"7,474,366.00","3,737,183.00"
238800,University Of Minnesota  Duluth,"7,453,951.00","3,726,976.00"
340700,Rhode Island College,"7,443,916.00","3,721,958.00"
311900,Sinclair Community College,"7,434,204.00","3,717,102.00"
116600,Citrus College,"7,429,415.00","3,714,708.00"
332200,Kutztown University Of Pennsylvania,"7,424,966.00","3,712,483.00"
364800,Tyler Junior College,"7,395,647.00","3,697,824.00"
264300,Union County College,"7,393,008.00","3,696,504.00"
261500,Middlesex County College,"7,378,634.00","3,689,317.00"
130500,Stanford University,"7,376,668.00","3,688,334.00"
332700,Slippery Rock University,"7,354,069.00","3,677,035.00"
107700,Mesa Community College,"7,352,103.00","3,676,052.00"
712000,Des Moines Area Community College,"7,345,999.00","3,673,000.00"
399300,Midlands Technical College,"7,332,783.00","3,666,392.00"
1043900,Southwest Tennessee Community College,"7,298,437.00","3,649,219.00"
132500,University Of San Francisco,"7,293,888.00","3,646,944.00"
807300,Butte College,"7,281,962.00","3,640,981.00"
861100,"Cuny, Hostos Community College","7,267,430.00","3,633,715.00"
284800,Suny College At Oswego,"7,244,716.00","3,622,358.00"
448000,De Anza Community College,"7,235,258.00","3,617,629.00"
352200,Tennessee State University,"7,214,661.00","3,607,331.00"
475900,Cuny York College,"7,205,414.00","3,602,707.00"
288100,Suny Westchester Community College,"7,195,672.00","3,597,836.00"
356500,Texas A&M University - Commerce,"7,193,156.00","3,596,578.00"
3368300,Midwest Technical Institute,"7,164,512.00","3,582,256.00"
150900,Nova Southeastern University,"7,157,194.00","3,578,597.00"
119300,Cypress College,"7,147,934.00","3,573,967.00"
120800,Grossmont College,"7,141,562.00","3,570,781.00"
1009700,Cuny Medgar Evers College,"7,109,437.00","3,554,719.00"
502600,Inter American University Of Puerto Rico - Arecibo Campus,"7,100,104.00","3,550,052.00"
162000,Idaho State University,"7,097,839.00","3,548,920.00"
200800,Louisiana Tech University,"7,094,887.00","3,547,444.00"
391700,University Of Wisconsin - Eau Claire,"7,091,955.00","3,545,978.00"
363900,Texas A&M University - Kingsville,"7,087,427.00","3,543,714.00"
135800,Colorado Mesa University,"7,068,379.00","3,534,190.00"
251800,University Of Missouri - Kansas City,"7,062,723.00","3,531,362.00"
118200,College Of The Desert,"7,061,346.00","3,530,673.00"
369600,University Of Vermont And State Agricultural College,"7,055,880.00","3,527,940.00"
358100,Lamar University,"7,048,774.00","3,524,387.00"
277200,Mercy College,"7,046,720.00","3,523,360.00"
793300,Front Range Community College,"7,046,470.00","3,523,235.00"
286600,Fashion Institute Of Technology,"7,035,399.00","3,517,700.00"
